Roll No,Marks Lab report (Out of 20),Marks Mid-Semester (Out of 40),Total Marks,Total Marks Percentage,Batch
160700,5.5,23.2,28.7,47.833333333333336,Others
170616,3.625,16.0,19.625,32.708333333333336,Others
170232,6.125,23.2,29.325,48.875,Others
170476,14.375,22.4,36.775,61.291666666666664,Others
180689,10.75,28.4,39.15,65.25,Others
180826,7.25,0.0,7.25,12.083333333333334,Others
180027,2.5,30.8,33.3,55.49999999999999,Others
190001,17.875,27.2,45.075,75.125,Y19
190002,18.75,35.6,54.35,90.58333333333333,Y19
190003,16.625,35.2,51.825,86.375,Y19
190004,18.875,37.6,56.475,94.125,Y19
190005,15.75,29.6,45.35,75.58333333333333,Y19
190006,16.75,30.0,46.75,77.91666666666667,Y19
190007,18.875,37.6,56.475,94.125,Y19
190008,15.125,14.4,29.525,49.208333333333336,Y19
190009,19.0,35.2,54.2,90.33333333333333,Y19
190010,16.5,32.4,48.9,81.5,Y19
190011,15.25,33.2,48.45,80.75,Y19
190012,18.875,30.4,49.275,82.125,Y19
190013,13.25,28.8,42.05,70.08333333333333,Y19
190014,13.75,34.0,47.75,79.58333333333333,Y19
190015,14.5,34.4,48.9,81.5,Y19
190016,14.375,0.0,14.375,23.958333333333332,Y19
190017,13.25,28.8,42.05,70.08333333333333,Y19
190018,8.375,0.0,8.375,13.958333333333334,Y19
190019,17.5,33.6,51.1,85.16666666666667,Y19
190020,13.125,31.6,44.725,74.54166666666667,Y19
190021,18.125,34.0,52.125,86.875,Y19
190022,16.25,42.0,58.25,97.08333333333333,Y19
190023,17.875,35.6,53.475,89.125,Y19
190024,17.875,29.6,47.475,79.125,Y19
190025,18.5,36.0,54.5,90.83333333333333,Y19
190026,14.125,34.4,48.525,80.875,Y19
190027,16.625,29.6,46.225,77.04166666666667,Y19
190028,18.75,29.2,47.95,79.91666666666667,Y19
190029,18.25,31.6,49.85,83.08333333333333,Y19
190030,19.0,38.8,57.8,96.33333333333333,Y19
190031,16.0,20.8,36.8,61.33333333333333,Y19
190032,18.125,22.0,40.125,66.875,Y19
190033,18.375,34.0,52.375,87.29166666666667,Y19
190034,14.0,26.0,40.0,66.66666666666667,Y19
190035,15.625,33.2,48.825,81.375,Y19
190036,17.75,18.0,35.75,59.583333333333336,Y19
190037,12.5,34.4,46.9,78.16666666666667,Y19
190038,18.375,28.4,46.775,77.95833333333333,Y19
190039,10.875,30.4,41.275,68.79166666666667,Y19
190040,9.25,21.2,30.45,50.75,Y19
190041,17.75,29.2,46.95,78.25,Y19
190042,14.5,36.4,50.9,84.83333333333333,Y19
190043,15.0,35.2,50.2,83.66666666666667,Y19
190044,14.875,36.4,51.275,85.45833333333333,Y19
190045,19.5,28.8,48.3,80.5,Y19
190046,17.25,35.2,52.45,87.41666666666667,Y19
190047,18.125,27.2,45.325,75.54166666666667,Y19
190048,6.375,33.2,39.575,65.95833333333334,Y19
190049,18.0,34.8,52.8,88.0,Y19
190050,0.0,30.4,30.4,50.666666666666664,Y19
190051,18.5,25.6,44.1,73.5,Y19
190052,11.625,20.8,32.425,54.04166666666666,Y19
190053,0.0,4.4,4.4,7.333333333333334,Y19
190054,4.125,34.0,38.125,63.541666666666664,Y19
190055,18.75,33.2,51.95,86.58333333333333,Y19
190056,18.375,30.4,48.775,81.29166666666667,Y19
190057,19.125,34.8,53.925,89.875,Y19
190058,15.875,38.4,54.275,90.45833333333333,Y19
190059,15.75,25.2,40.95,68.25000000000001,Y19
190060,14.625,33.6,48.225,80.375,Y19
190061,14.5,32.4,46.9,78.16666666666667,Y19
190062,14.125,30.4,44.525,74.20833333333333,Y19
190063,14.0,30.8,44.8,74.66666666666667,Y19
190064,8.125,28.8,36.925,61.54166666666666,Y19
190065,8.5,34.8,43.3,72.16666666666667,Y19
190066,11.0,38.4,49.4,82.33333333333333,Y19
190067,17.75,25.6,43.35,72.25,Y19
190068,16.375,32.4,48.775,81.29166666666667,Y19
190069,18.75,37.6,56.35,93.91666666666667,Y19
190070,15.125,33.6,48.725,81.20833333333333,Y19
190071,10.25,30.4,40.65,67.75,Y19
190072,13.5,32.0,45.5,75.83333333333333,Y19
190073,16.875,29.6,46.475,77.45833333333333,Y19
190074,14.75,36.4,51.15,85.25,Y19
190075,15.625,39.2,54.825,91.375,Y19
190076,15.625,28.8,44.425,74.04166666666667,Y19
190077,18.375,31.6,49.975,83.29166666666667,Y19
190078,16.25,21.6,37.85,63.083333333333336,Y19
190079,16.75,33.6,50.35,83.91666666666667,Y19
190080,17.625,35.6,53.225,88.70833333333333,Y19
190081,18.625,30.0,48.625,81.04166666666667,Y19
190082,15.625,37.2,52.825,88.04166666666667,Y19
190083,14.375,24.0,38.375,63.958333333333336,Y19
190084,16.625,27.2,43.825,73.04166666666667,Y19
190085,18.125,34.4,52.525,87.54166666666667,Y19
190086,18.875,33.6,52.475,87.45833333333333,Y19
190087,13.0,30.4,43.4,72.33333333333333,Y19
190088,18.5,29.2,47.7,79.5,Y19
190089,17.875,32.4,50.275,83.79166666666667,Y19
